date,p50,p2_5,p97_5,p16,p84
2018-10-25,-0.442317,-1.040344,0.261286,-0.757962,-0.106781
2018-11-06,-0.522438,-1.113876,0.205742,-0.826174,-0.182219
2018-11-14,-0.488989,-1.10603,0.213407,-0.805682,-0.145184
2018-11-21,-0.413038,-1.069241,0.275184,-0.735764,-0.095329
2018-12-04,-0.514119,-1.150147,0.187584,-0.839004,-0.167254
2018-12-11,-0.577436,-1.185592,0.083208,-0.884691,-0.259765
2018-12-18,-0.589786,-1.211286,0.119927,-0.900824,-0.253161
2018-12-26,-0.568076,-1.199084,0.177879,-0.889418,-0.237729
2019-01-08,-0.500218,-1.148393,0.222512,-0.829361,-0.163133
2019-01-15,-0.476121,-1.177367,0.266898,-0.818898,-0.131352
2019-01-23,-0.495363,-1.168146,0.237989,-0.847335,-0.148073
2019-02-04,-0.608415,-1.273122,0.15757,-0.933938,-0.25056
2019-02-11,-0.548726,-1.233137,0.197707,-0.915013,-0.180197
2019-02-19,-0.556515,-1.28651,0.245606,-0.925037,-0.169585
2019-02-26,-0.566887,-1.264878,0.185609,-0.911166,-0.223229
