asOfDate,0-1Y,1-3Y,3-5Y,5-7Y,7-10Y,10-20Y,20+Y
2019-09-25,348115170700,546671847000,291462462500,117934060800,164463316600,154176381400,460529737200
2019-10-30,390766938800,555509501500,299058257300,120018261200,167143898800,154191381400,464283737200
2019-11-28,411161916300,605158062400,275741226300,132109761600,169578229800,185453356700,444287423100
2019-12-31,464822022900,610580435600,281221293200,139301516700,174000928000,185478356700,448054423100
2020-01-29,540364245900,609931891800,294676593600,136260171400,166123309100,185538356700,450765364200
2020-02-26,577949079500,632052312500,277756392200,140255887600,171965670200,216369969300,432325621400
2020-03-25,693493339600,755125688900,350974026300,208788155500,212732747100,228126969300,499860006000
2020-04-29,838536031300,1046279193900,513035320200,334658861600,319601379400,239429969300,643839959000
2020-05-27,896467962000,1052809223700,517643262700,354349295200,347543069700,261792445300,642063456100
2020-06-24,941169500600,1063690418800,521569439300,359256291700,359188374000,264140103800,652505586500
2020-07-29,972774436100,1081430806200,539092453300,365690576500,363435886500,266919232900,668706471800
2020-08-26,962274116400,1117786473100,523574041400,377653571900,376516528700,299265097100,664049034700
2020-09-30,986307568000,1135913506000,529380973100,381942984900,388130274700,304491849200,679089707400
2020-10-28,997820568000,1161483087900,539938973100,392322984900,397516320100,304616849200,691570080100
2020-11-25,1035348467800,1159667014700,542929702000,420028253900,386857994500,340056924600,678632505800
2020-12-30,1036404904500,1200895569500,547123684300,425472041900,391860293400,351015626700,692489743000
2021-01-27,1040321147200,1229694524500,574359145000,427575125900,389922605200,357526087200,703832366500
2021-02-24,1058775346300,1234571733200,586428901400,432208325200,409582160800,397061088000,682218446600
2021-03-31,1040789004600,1255425983600,612990864000,444064425100,427273044800,417617832800,698032846600
2021-04-28,1052504225800,1289508748200,599875983000,473358834600,414165272400,424817832800,712840249000
2021-05-26,1035750322800,1288076896600,635134425600,475478688000,431574761200,464166172600,706504879000
2021-06-30,1020452715900,1318193048100,661766640700,475524270300,454223314300,478643877500,719474279000
2021-07-28,1033988108500,1359534785600,658697723400,491623945200,449114967000,484258877500,729599197000
2021-08-25,1069627373500,1338578368800,676840698500,499945420200,458742535200,520557117300,721141090700
2021-09-29,1070834853300,1371864234300,685270523600,503545823200,471387901800,530954443600,732991824400
2021-10-27,1087654422400,1394591113600,699183936200,498356496400,484053157600,538047853600,745572624400
2021-11-24,1104007551300,1386927023600,721896480600,497566892500,486808804400,578688501200,735173350600
2021-12-29,1118922195900,1393448648500,737899565700,496368455900,500937127000,586644242800,745832368400
2022-01-26,1135829772200,1420601854000,749342854600,496137910000,495189452300,592298441200,753354240600
2022-02-23,1142239344000,1402489122700,761506387600,494964685500,495721922100,638660446000,730979617000
2022-03-30,1163147939000,1381336710100,772673848000,480373146300,503033588800,641930443000,738266849700
2022-04-27,1176410246100,1367631214300,761266670200,484951557400,505326376100,643745055300,743037732900
2022-05-25,1192987726900,1324092992500,761029639500,504595514500,495265396000,676706279200,727691303700
2022-06-29,1224277123800,1283543594400,757697571900,500193309900,499310487500,679262005200,728783489800
2022-07-27,1221382260400,1273250274800,745403393600,498331832000,491316846800,680332000400,731205182200
2022-08-31,1224772616500,1204516724900,767634824000,504956633400,463969927700,710097533500,718930867600
2022-09-28,1218596131100,1208746636200,746485357100,509773702700,459152858400,710097533500,718930867600
2022-10-26,1191991595800,1191561310000,736238480100,500845464600,459152858400,710097533500,718930867600
2022-11-30,1150900492400,1133961764300,775510209400,494263690400,422314640900,731448259300,706630070000
2022-12-28,1148092994700,1144620213300,750756540000,498068717300,418509614000,731448259300,706630070000
2023-01-25,1139492076200,1135869848700,729670117000,481868513900,408806635000,731448259300,706630070000
2023-02-22,1099281179200,1119811944200,712981674300,492338669300,393039149900,765323259300,680961621200
2023-03-29,1071071637500,1107769678800,715009058200,486819689400,393039149900,768731321200,683056458300
2023-04-26,1077989164000,1071004158400,703179457000,461593279900,395085138700,768731321200,684207327000
2023-05-31,975734616600,1073808266900,681810429200,490900125400,373446129700,784423379900,678224618900
2023-06-28,1010332944600,1043036465500,676675275700,477363538800,366851225400,784473379900,678221618900
2023-07-26,1000450288100,1026243182500,663378565700,461495123600,358553673200,784473379900,678221618900
2023-08-30,948558082800,1015807113700,651873499000,464957124300,344509421600,804721379900,666578215100
2023-09-27,915395266100,1009497779400,644766933200,459503562600,344509421600,806383701900,667359376100
2023-10-25,899777835200,1008705793900,622068529100,450905670100,344509421600,806383701900,667359376100
2023-11-29,896949073600,986094242300,610409314400,441053054300,320342822400,826308701900,647965091400
2023-12-27,871507507300,975339700200,599464401100,435328282800,320515598600,826492996500,647965091400
2024-01-31,827424030300,961840036200,586710839600,417494722600,313542174100,826492996500,647965091400
2024-02-28,858861156200,943180165300,574479166000,424163027500,273468026400,851261280200,625045742300
2024-03-27,847056508800,936060716300,553596767000,417444316000,273468026400,851953497300,625483114400
2024-04-24,812189237400,916012740500,547318143200,399093642300,274111207300,851953497300,625845934300
2024-05-29,808153411300,885628889100,560621509400,402149458500,235228401700,872160456500,608843183400
2024-06-26,783956205100,879456872000,553158874800,398447489700,237439758700,873110339300,609554784200
2024-07-31,765306394800,867479873000,547877181900,392425847900,236241844900,874304800700,613129213300
2024-08-28,772139458700,864807670300,570291195400,366123285000,216230854400,888174800700,603963596200
2024-09-25,765876063300,864530339400,561244615800,364802858100,216603532000,889447034300,604173824600
2024-10-30,752962896300,856508898400,553762422200,365705171800,217489736100,889790399600,604475768800
2024-11-27,723631777300,879059535500,562451161100,345555074800,194046554300,907409043100,593152097700
2024-12-31,723391018900,866570826500,541291276600,345185642300,194325867200,908625205000,593309658800
2025-01-29,715932884000,869439234200,537327580200,343411067800,194992262600,908625205000,598143904900
2025-02-26,695930471800,858625033800,551617787700,352559051500,171433039500,923100689800,591308131400
